"VH","VV","LAI"
"0.0041869059977129","0.031136322607285","1.89"
"0.0030240785242754","0.031607561421947","2.115"
"0.0066251688541511","0.035257641630814","3.945"
"0.0065975362040942","0.032015638695467","1.97"
"0.0042619157295578","0.0089949126476506","0.92"
"0.0048209806920307","0.014292197888891","2.7"
"0.0046162299973526","0.016461655823914","3.315"
"0.0041900742763638","0.020726051824733","3.74"
"0.011027918302029","0.027628656559176","3.35"
"0.012981065179372","0.034007523427038","3.9"
"0.010491350345448","0.034803570893358","4.675"
"0.010557767165087","0.03636635192569","4.21"
"0.010510180085198","0.02986087860156","4.17"
"0.010704142251742","0.036077559957939","5.22"
"0.015316052153956","0.03546392610272","4.31"
"0.01292419932683","0.037237416782335","4.7"
"0.0098749821841869","0.021808441925412","3.84"
"0.0053722354223163","0.033168710935271","5.8"
"0.01112469631055","0.028430714298926","4.72"
"0.010212563135867","0.024833484130672","4.24"
"0.0045223096895082","0.016590133265205","4.73"
"0.0047698932280819","0.018375712739698","4.96"
"0.0044271922498157","0.014412884991738","4.325"
"0.0070889016354873","0.019034236721558","4.47"
"0.014745161750157","0.038555637701018","5.09"
"0.0023668472103356","0.0089300748374475","4.04"
"0.0017326690019966","0.0085670374412148","4.17"
"0.0019380026583758","0.010260701022472","4.62"
"0.0051742441484393","0.014760251207022","3.81"
"0.0067373373876407","0.017819726792355","3.82"
"0.0059374102390485","0.013363344450636","3.335"
"0.0085582468244037","0.018896016447764","3.77"
"0.00059538935410695","0.006503651042784","4.01"
"0.00054185287274277","0.0099277036553078","4.54"
"0.0012092414753691","0.004116568698751","3"
"0.001499172786232","0.0064671175986928","3.5"
"0.0044689250661865","0.010702814524946",""
"0.0043482304531728","0.010085008678405",""
"0.004227535840159","0.0094672028318636",""
"0.0041068412271453","0.0088493969853224",""
"0.0039861466141316","0.0082315911387813",""
"0.0038654520011178","0.0076137852922401",""
"0.0037447573881041","0.0069959794456989",""
"0.0036240627750903","0.0063781735991578",""
"0.0035033681620766","0.0057603677526166",""
"0.0033826735490629","0.0051425619060755",""
"0.0032619789360491","0.0045247560595343",""
"0.0031412843230354","0.0039069502129931",""
"0.0030205897100217","0.003289144366452",""
"0.0028998950970079","0.0026713385199108",""
"0.0027792004839942","0.0020535326733697",""
"0.0026585058709804","0.0014357268268285",""
"0.0025378112579667","0.0008179209802873",""
"0.002417116644953","0.0002001151337462",""
