RVI,LAI
0.413616725,3.584806124
0.536370384,4.610598094
0.494094437,4.291088736
0.743460197,4.9129975
0.52932163,4.66570365
0.692031531,4.9129975
0.472674186,4.291088736
0.703498402,4.9129975
0.445275052,4.205854926
0.413616725,3.584806124
0.536370384,4.610598094
0.494094437,4.291088736
0.743460197,4.9129975
0.52932163,4.66570365
0.692031531,4.9129975
0.472674186,4.291088736
0.703498402,4.9129975
0.445275052,4.205854926
0.354780759,3.749282592
0.533519079,4.610598094
0.381646557,3.749282592
0.275762598,3.174415481
0.334608049,3.749282592
0.369309072,3.749282592
0.309537448,3.504629894
0.321871628,3.221166667
0.364031397,3.887
0.309250842,2.7368
0.336721615,4.593233333
0.315008897,3.9865
0.3218521,3.763266667
0.320363025,4.0031
0.405821541,3.04532967
0.417171424,3.502552
0.345241735,3.749282592
0.439044094,4.205854926
0.326244244,3.749282592
0.462990695,4.205854926
0.430256838,4.205854926
0.505051143,4.478237601
0.480636776,4.291088736
0.424775569,3.7124435
0.505535186,4.478237601
0.519290306,4.66570365
0.421404379,3.722597394
0.463905,4.291088736
0.338874074,3.749282592
0.299681965,3.174415481
